,name,date,passive,q,w,e,r,total,date_float
138,Volibear,2011-11-29,125,64,48,58,68,363,1322524800.0
139,Warwick,2009-02-21,49,62,68,31,54,264,1235174400.0
140,Xayah,2017-04-19,113,28,79,37,30,287,1492560000.0
141,Xerath,2011-10-05,43,33,50,30,38,194,1317772800.0
142,XinZhao,2010-07-13,107,33,28,41,73,282,1278979200.0
143,Yasuo,2013-12-13,104,80,12,59,65,320,1386892800.0
144,Yone,2020-08-06,85,50,51,67,31,284,1596672000.0
145,Yorick,2011-06-22,108,67,24,53,79,331,1308700800.0
146,Yuumi,2019-05-14,70,67,65,36,45,283,1557792000.0
147,Zac,2013-03-29,253,71,28,57,77,486,1364515200.0
148,Zed,2012-11-13,66,31,45,66,67,275,1352764800.0
149,Ziggs,2012-02-01,48,12,54,32,27,173,1328054400.0
150,Zilean,2009-04-18,161,60,14,24,43,302,1240012800.0
151,Zoe,2017-11-21,37,53,93,57,25,265,1511222400.0
152,Zyra,2012-07-24,60,50,75,77,55,317,1343088000.0
