,name,date,passive,q,w,e,r,total,date_float
124,Tristana,2009-02-21,7,14,37,84,22,164,1235174400.0
1,Ahri,2011-12-14,18,27,38,39,40,162,1323820800.0
17,Cassiopeia,2010-12-14,12,36,32,45,36,161,1292284800.0
141,Xerath,2011-10-05,6,33,50,30,38,157,1317772800.0
127,TwistedFate,2009-02-21,16,13,68,22,38,157,1235174400.0
6,Annie,2009-02-21,12,25,12,41,66,156,1235174400.0
18,Chogath,2009-06-26,17,30,16,31,60,154,1245974400.0
44,Jax,2009-02-21,9,21,22,66,35,153,1235174400.0
92,Rakan,2017-04-19,5,51,21,29,45,151,1492560000.0
27,Ezreal,2010-03-16,17,27,56,24,26,150,1268697600.0
132,Vayne,2011-05-10,14,18,20,37,59,148,1304985600.0
94,RekSai,2014-12-11,19,21,44,23,40,147,1418256000.0
66,Lucian,2013-08-22,11,13,53,24,44,145,1377129600.0
149,Ziggs,2012-02-01,18,12,54,32,27,143,1328054400.0
68,Lux,2010-10-19,28,25,24,42,19,138,1287446400.0
12,Blitzcrank,2009-09-02,13,19,34,19,48,133,1251849600.0
3,Alistar,2009-02-21,25,19,15,55,18,132,1235174400.0
45,Jayce,2012-07-07,12,28,33,23,32,128,1341619200.0
4,Amumu,2009-06-26,18,25,24,40,20,127,1245974400.0
51,Karthus,2009-06-12,14,27,37,30,18,126,1244764800.0
25,Elise,2012-10-26,25,17,31,18,30,121,1351209600.0
109,Singed,2009-04-18,14,15,19,37,29,114,1240012800.0
